"","English_Name","Genus","Species","treatment","Author","Pub_Year","Journal","Class","Order","Collection_Location","Study_Type","Distribution","Calcification","Life_stage","Life_stage_category","Class_1","Order_1","Extracted_from","Comments","Response_variable","rate_or_biomass","response_type","response_type_2","Effect of treatment","Study_Duration","Study_Duration_Units","citation details","response","SE_response","LCI_response","UCI_response","unit_response","sample_size","pH","uatm","omega ar","DIC _umol_kg-1","ppm CO2","CO2","salinity","temperature","oxygen_in_orig_units","orig_oxygen_units","oxygen","unit_conversion_citation","treatment_var","treatment_name_or_other_details","comments","extraction method","study_design","study","lowerSE","upperSE","max_response","rel_response","rel_upperSE","rel_lowerSE","SE_response_for_resampling","treat_value"
"11","Dungeness crab","Cancer","magister","pH","Hans et al",2014,"Marine Biology","Malacostraca","Decapoda","Local supermarket (Superstore_ Winnipeg_ Manitoba)","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Adult","adult or juvenile","Malacostraca","Decapoda","Busch and McHany_2016","Artificial seawater 9-15 days of incubation","oxygen consumption","rate","metabolic rate","consumption","negative",15,"Days","Fig. 4",0.265,0.06,NA,NA,"umol g-1 h-1",5,8.1,NA,NA,NA,NA,NA,32,14,NA,NA,NA,NA,"pH","control",NA,NA,"anova","Hans et al 2014 Dungeness crab Adult oxygen consumption CO2",0.205,0.325,0.265,1,1.22641509433962,0.773584905660377,0.226415094339623,8.1
"12","Dungeness crab","Cancer","magister","pH","Hans et al",2014,"Marine Biology","Malacostraca","Decapoda","Local supermarket (Superstore_ Winnipeg_ Manitoba)","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Adult","adult or juvenile","Malacostraca","Decapoda","Busch and McHany_2016","Artificial seawater 9-15 days of incubation","oxygen consumption","rate","metabolic rate","consumption","negative",15,"Days","Fig. 4",0.01,0.007,NA,NA,"umol g-1 h-1",5,7.4,NA,NA,NA,NA,NA,32,14,NA,NA,NA,NA,"pH","high",NA,NA,"multi-level anova","Hans et al 2014 Dungeness crab Adult oxygen consumption CO2",0.003,0.017,0.265,0.0377358490566038,0.0641509433962264,0.0113207547169811,0.0264150943396226,7.4
"13","Dungeness crab","Cancer","magister","pH","Miller et al",2016,"Marine Biology","Malacostraca","Decapoda","Mukilteo_ Washington_ Puget Sound_ E. Pacific","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Fertilized Egg","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"hatching probability","biomass","survival","ability_productivity_growth_survival","no diff",34,"Days","p6",0.77,NA,0.62,0.97,"proportion of 593",6,8,466,NA,2058,NA,466,30.5,NA,NA,NA,NA,NA,"CO2","control",NA,NA,"multi-level anova","Miller et al 2016 Dungeness crab Fertilized Egg hatching probability CO2",0.693469387755102,0.872040816326531,0.77,1,1.13252054068381,0.900609594487146,0.132520540683806,466
"14","Dungeness crab","Cancer","magister","pH","Miller et al",2016,"Marine Biology","Malacostraca","Decapoda","Mukilteo_ Washington_ Puget Sound_ E. Pacific","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Fertilized Egg","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"hatching probability","biomass","survival","ability_productivity_growth_survival","no diff",34,"Days","p6",0.59,NA,0.26,0.8,"proportion of 593",6,7.5,1781,NA,2208,NA,1781,30.5,NA,NA,NA,NA,NA,"CO2","medium",NA,NA,"multi-level anova","Miller et al 2016 Dungeness crab Fertilized Egg hatching probability CO2",0.421632653061224,0.697142857142857,0.77,0.766233766233766,0.905380333951763,0.547574874105486,0.139146567717996,1781
"15","Dungeness crab","Cancer","magister","pH","Miller et al",2016,"Marine Biology","Malacostraca","Decapoda","Mukilteo_ Washington_ Puget Sound_ E. Pacific","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Fertilized Egg","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"hatching probability","biomass","survival","ability_productivity_growth_survival","no diff",34,"Days","p6",0.72,NA,0.48,0.9,"proportion of 593",6,7.1,3920,NA,2306,NA,3920,30.5,NA,NA,NA,NA,NA,"CO2","high",NA,NA,"multi-level anova","Miller et al 2016 Dungeness crab Fertilized Egg hatching probability CO2",0.597551020408163,0.811836734693878,0.77,0.935064935064935,1.05433342168036,0.776040286244368,0.119268486615425,3920
"16","Dungeness crab","Cancer","magister","pH","Miller et al",2016,"Marine Biology","Malacostraca","Decapoda","Mukilteo_ Washington_ Puget Sound_ E. Pacific","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Fertilized Egg","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"hatching timing","biomass","growth","ability_productivity_growth_survival","negative",34,"Days","Fig.3",1,NA,1,1,"acceleration_factor_compared_to_control",6,8,466,NA,2058,NA,466,30.5,NA,NA,NA,NA,NA,"CO2","control",NA,NA,"multi-level anova","Miller et al 2016 Dungeness crab Fertilized Egg hatching timing CO2",1,1,1.24,0.806451612903226,0.806451612903226,0.806451612903226,0,466
"17","Dungeness crab","Cancer","magister","pH","Miller et al",2016,"Marine Biology","Malacostraca","Decapoda","Mukilteo_ Washington_ Puget Sound_ E. Pacific","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Fertilized Egg","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"hatching timing","biomass","growth","ability_productivity_growth_survival","negative",34,"Days","Fig.3",0.93,NA,0.91,0.94,"acceleration_factor_compared_to_control",6,7.5,1781,NA,2208,NA,1781,30.5,NA,NA,NA,NA,NA,"CO2","medium",NA,NA,"multi-level anova","Miller et al 2016 Dungeness crab Fertilized Egg hatching timing CO2",0.919795918367347,0.935102040816327,1.24,0.75,0.754114549045425,0.741770901909151,0.00411454904542463,1781
"18","Dungeness crab","Cancer","magister","pH","Miller et al",2016,"Marine Biology","Malacostraca","Decapoda","Mukilteo_ Washington_ Puget Sound_ E. Pacific","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Fertilized Egg","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"hatching timing","biomass","growth","ability_productivity_growth_survival","negative",34,"Days","Fig.3",1.24,NA,1.22,1.26,"acceleration_factor_compared_to_control",6,7.1,3920,NA,2306,NA,3920,30.5,NA,NA,NA,NA,NA,"CO2","high",NA,NA,"multi-level anova","Miller et al 2016 Dungeness crab Fertilized Egg hatching timing CO2",1.22979591836735,1.25020408163265,1.24,1,1.00822909809085,0.991770901909151,0.00822909809084926,3920
"19","Dungeness crab","Cancer","magister","pH","Miller et al",2016,"Marine Biology","Malacostraca","Decapoda","Mukilteo_ Washington_ Puget Sound_ E. Pacific","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Fertilized Egg","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"larval survival","biomass","survival","ability_productivity_growth_survival","negative",45,"Days","p7",1,NA,1,1,"acceleration_factor_compared_to_control",38,8,466,NA,2058,NA,466,30.5,NA,NA,NA,NA,NA,"CO2","control",NA,NA,"multi-level anova","Miller et al 2016 Dungeness crab Fertilized Egg larval survival CO2",1,1,1,1,1,1,0,466
"20","Dungeness crab","Cancer","magister","pH","Miller et al",2016,"Marine Biology","Malacostraca","Decapoda","Mukilteo_ Washington_ Puget Sound_ E. Pacific","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Larvae","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"larval survival","biomass","survival","ability_productivity_growth_survival","negative",45,"Days","p7",0.544,NA,0.349,0.879,"acceleration_factor_compared_to_control",37,7.5,1781,NA,2208,NA,1781,30.5,NA,NA,NA,NA,NA,"CO2","medium",NA,NA,"multi-level anova","Miller et al 2016 Dungeness crab Larvae larval survival CO2",0.444510204081633,0.714918367346939,0.628,0.866242038216561,1.13840504354608,0.707818796308332,0.27216300532952,1781
"21","Dungeness crab","Cancer","magister","pH","Miller et al",2016,"Marine Biology","Malacostraca","Decapoda","Mukilteo_ Washington_ Puget Sound_ E. Pacific","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Larvae","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"larval survival","biomass","survival","ability_productivity_growth_survival","negative",45,"Days","p7",0.628,NA,0.394,0.999,"acceleration_factor_compared_to_control",38,7.1,3920,NA,2306,NA,3920,30.5,NA,NA,NA,NA,NA,"CO2","high",NA,NA,"multi-level anova","Miller et al 2016 Dungeness crab Larvae larval survival CO2",0.508612244897959,0.817285714285714,0.628,1,1.30141037306642,0.809892109710126,0.301410373066424,3920
"22","Dungeness crab","Cancer","magister","pH","Miller et al",2016,"Marine Biology","Malacostraca","Decapoda","Mukilteo_ Washington_ Puget Sound_ E. Pacific","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Fertilized Egg","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"larval timing","biomass","growth","ability_productivity_growth_survival","negative",45,"Days","p7",0.68,NA,NA,NA,"percent reached zoea stage 4 within 45 days",38,8,466,NA,2058,NA,466,30.5,NA,NA,NA,NA,NA,"CO2","control",NA,NA,"anova","Miller et al 2016 Dungeness crab Fertilized Egg larval timing CO2",NA,NA,0.68,1,NA,NA,0,466
"23","Dungeness crab","Cancer","magister","pH","Miller et al",2016,"Marine Biology","Malacostraca","Decapoda","Mukilteo_ Washington_ Puget Sound_ E. Pacific","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Fertilized Egg","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"larval timing","biomass","growth","ability_productivity_growth_survival","negative",45,"Days","p7",0.25,NA,NA,NA,"percent reached zoea stage 4 within 45 days",75,7.5,1781,NA,2208,NA,1781,30.5,NA,NA,NA,NA,NA,"CO2","medium","medium category was pooled data from medium and high",NA,"anova","Miller et al 2016 Dungeness crab Fertilized Egg larval timing CO2",NA,NA,0.68,0.367647058823529,NA,NA,0,1781
"24","Dungeness crab","Cancer","magister","pH","Roberts",2013,"Evergreen thesis","Malacostraca","Decapoda","Saratoga Passage_ Puget Sound_ Washington","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Larvae","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"swimming_speed","rate","movement","activity_speed","no diff",21,"Days","Fig.3",0.23,0.14,NA,NA,"cm s-1",30,8.2,400,NA,NA,NA,400,NA,12,NA,NA,NA,NA,"CO2","control",NA,NA,"multi-level anova","Roberts 2013 Dungeness crab Larvae swimming_speed CO2",0.09,0.37,0.23,1,1.60869565217391,0.391304347826087,0.608695652173913,400
"25","Dungeness crab","Cancer","magister","pH","Roberts",2013,"Evergreen thesis","Malacostraca","Decapoda","Saratoga Passage_ Puget Sound_ Washington","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Larvae","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"swimming_speed","rate","movement","activity_speed","no diff",21,"Days","Fig.3",0.2,0.09,NA,NA,"cm s-1",30,7.6,1600,NA,NA,NA,1600,NA,12,NA,NA,NA,NA,"CO2","medium",NA,NA,"multi-level anova","Roberts 2013 Dungeness crab Larvae swimming_speed CO2",0.11,0.29,0.23,0.869565217391304,1.26086956521739,0.478260869565217,0.391304347826087,1600
"26","Dungeness crab","Cancer","magister","pH","Roberts",2013,"Evergreen thesis","Malacostraca","Decapoda","Saratoga Passage_ Puget Sound_ Washington","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Larvae","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"swimming_speed","rate","movement","activity_speed","no diff",21,"Days","Fig.3",0.18,0.12,NA,NA,"cm s-1",30,7.17,3200,NA,NA,NA,3200,NA,12,NA,NA,NA,NA,"CO2","high",NA,NA,"multi-level anova","Roberts 2013 Dungeness crab Larvae swimming_speed CO2",0.06,0.3,0.23,0.782608695652174,1.30434782608696,0.260869565217391,0.521739130434782,3200
"27","Dungeness crab","Cancer","magister","pH","Roberts",2013,"Evergreen thesis","Malacostraca","Decapoda","Saratoga Passage_ Puget Sound_ Washington","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Larvae","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"larval_phototaxis","information","movement","ability_productivity_growth_survival","no diff",21,"Days","Fig.5",80,12,NA,NA,"percent",29,8.2,400,NA,NA,NA,400,NA,12,NA,NA,NA,NA,"CO2","control",NA,NA,"multi-level anova","Roberts 2013 Dungeness crab Larvae larval_phototaxis CO2",68,92,90,0.888888888888889,1.02222222222222,0.755555555555556,0.133333333333333,400
"28","Dungeness crab","Cancer","magister","pH","Roberts",2013,"Evergreen thesis","Malacostraca","Decapoda","Saratoga Passage_ Puget Sound_ Washington","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Larvae","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"larval_phototaxis","information","movement","ability_productivity_growth_survival","no diff",21,"Days","Fig.5",90,12,NA,NA,"percent",29,7.6,1600,NA,NA,NA,1600,NA,12,NA,NA,NA,NA,"CO2","medium",NA,NA,"multi-level anova","Roberts 2013 Dungeness crab Larvae larval_phototaxis CO2",78,102,90,1,1.13333333333333,0.866666666666667,0.133333333333333,1600
"29","Dungeness crab","Cancer","magister","pH","Roberts",2013,"Evergreen thesis","Malacostraca","Decapoda","Saratoga Passage_ Puget Sound_ Washington","Single species lab study (one species in paper)","Eastern Pacific (California - Alaska)","Makes CaCO3","Larvae","propagule","Malacostraca","Decapoda","Busch and McHany_2016",NA,"larval_phototaxis","information","movement","ability_productivity_growth_survival","no diff",21,"Days","Fig.5",78,13,NA,NA,"percent",29,7.17,3200,NA,NA,NA,3200,NA,12,NA,NA,NA,NA,"CO2","high",NA,NA,"multi-level anova","Roberts 2013 Dungeness crab Larvae larval_phototaxis CO2",65,91,90,0.866666666666667,1.01111111111111,0.722222222222222,0.144444444444444,3200
"30","Dungeness crab","Cancer","magister","temperature","McLean and Todghaam",2015,"Conservation Physiology","Malacostraca","Decapoda","San Rafael Bay_ California","Single species lab study (one species in paper)",NA,"Makes CaCO3","Juvenile","adult or juvenile","Malacostraca","Decapoda","google scholar",NA,"oxygen consumption","rate","metabolic rate","consumption","positive",1,"Days","Fig.5",2,0.5,NA,NA,"umol g-1 h-1",8,NA,NA,NA,NA,NA,NA,31.6,15,NA,NA,NA,NA,"temperature",NA,"low feeding condition_ summer collected",NA,"multi-level anova","McLean and Todghaam 2015 Dungeness crab Juvenile oxygen consumption temperature",1.5,2.5,9.5,0.210526315789474,0.263157894736842,0.157894736842105,0.0526315789473684,15
"31","Dungeness crab","Cancer","magister","temperature","McLean and Todghaam",2015,"Conservation Physiology","Malacostraca","Decapoda","San Rafael Bay_ California","Single species lab study (one species in paper)",NA,"Makes CaCO3","Juvenile","adult or juvenile","Malacostraca","Decapoda","google scholar",NA,"oxygen consumption","rate","metabolic rate","consumption","positive",1,"Days","Fig.5",3,0.3,NA,NA,"umol g-1 h-1",8,NA,NA,NA,NA,NA,NA,31.6,20,NA,NA,NA,NA,"temperature",NA,"low feeding condition_ summer collected",NA,"multi-level anova","McLean and Todghaam 2015 Dungeness crab Juvenile oxygen consumption temperature",2.7,3.3,9.5,0.315789473684211,0.347368421052632,0.284210526315789,0.031578947368421,20
"32","Dungeness crab","Cancer","magister","temperature","McLean and Todghaam",2015,"Conservation Physiology","Malacostraca","Decapoda","San Rafael Bay_ California","Single species lab study (one species in paper)",NA,"Makes CaCO3","Juvenile","adult or juvenile","Malacostraca","Decapoda","google scholar",NA,"oxygen consumption","rate","metabolic rate","consumption","positive",1,"Days","Fig.5",5.7,0.7,NA,NA,"umol g-1 h-1",8,NA,NA,NA,NA,NA,NA,31.6,25,NA,NA,NA,NA,"temperature",NA,"low feeding condition_ summer collected",NA,"multi-level anova","McLean and Todghaam 2015 Dungeness crab Juvenile oxygen consumption temperature",5,6.4,9.5,0.6,0.673684210526316,0.526315789473684,0.0736842105263158,25
"33","Dungeness crab","Cancer","magister","temperature","McLean and Todghaam",2015,"Conservation Physiology","Malacostraca","Decapoda","San Rafael Bay_ California","Single species lab study (one species in paper)",NA,"Makes CaCO3","Juvenile","adult or juvenile","Malacostraca","Decapoda","google scholar",NA,"oxygen consumption","rate","metabolic rate","consumption","positive",1,"Days","Fig.5",9.5,0.5,NA,NA,"umol g-1 h-1",8,NA,NA,NA,NA,NA,NA,31.6,30,NA,NA,NA,NA,"temperature",NA,"low feeding condition_ summer collected",NA,"multi-level anova","McLean and Todghaam 2015 Dungeness crab Juvenile oxygen consumption temperature",9,10,9.5,1,1.05263157894737,0.947368421052632,0.0526315789473684,30
"34","Dungeness crab","Cancer","magister","temperature","McLean and Todghaam",2015,"Conservation Physiology","Malacostraca","Decapoda","San Rafael Bay_ California","Single species lab study (one species in paper)",NA,"Makes CaCO3","Juvenile","adult or juvenile","Malacostraca","Decapoda","google scholar",NA,"heart rate","rate","metabolic rate","consumption","unimodal",1,"Days","Fig.8",134,6,NA,NA,"bpm",10,NA,NA,NA,NA,NA,NA,31.6,12,NA,NA,NA,NA,"temperature",NA,"low feeding condition_ summer collected","webplotdigitizer","multi-level anova","McLean and Todghaam 2015 Dungeness crab Juvenile heart rate temperature",128,140,326,0.411042944785276,0.429447852760736,0.392638036809816,0.0184049079754601,12
"35","Dungeness crab","Cancer","magister","temperature","McLean and Todghaam",2015,"Conservation Physiology","Malacostraca","Decapoda","San Rafael Bay_ California","Single species lab study (one species in paper)",NA,"Makes CaCO3","Juvenile","adult or juvenile","Malacostraca","Decapoda","google scholar",NA,"heart rate","rate","metabolic rate","consumption","unimodal",1,"Days","Fig.8",157,7,NA,NA,"bpm",10,NA,NA,NA,NA,NA,NA,31.6,15,NA,NA,NA,NA,"temperature",NA,"low feeding condition_ summer collected","webplotdigitizer","multi-level anova","McLean and Todghaam 2015 Dungeness crab Juvenile heart rate temperature",150,164,326,0.48159509202454,0.503067484662577,0.460122699386503,0.0214723926380368,15
"36","Dungeness crab","Cancer","magister","temperature","McLean and Todghaam",2015,"Conservation Physiology","Malacostraca","Decapoda","San Rafael Bay_ California","Single species lab study (one species in paper)",NA,"Makes CaCO3","Juvenile","adult or juvenile","Malacostraca","Decapoda","google scholar",NA,"heart rate","rate","metabolic rate","consumption","unimodal",1,"Days","Fig.8",174,11,NA,NA,"bpm",10,NA,NA,NA,NA,NA,NA,31.6,18,NA,NA,NA,NA,"temperature",NA,"low feeding condition_ summer collected","webplotdigitizer","multi-level anova","McLean and Todghaam 2015 Dungeness crab Juvenile heart rate temperature",163,185,326,0.533742331288344,0.567484662576687,0.5,0.0337423312883436,18
"37","Dungeness crab","Cancer","magister","temperature","McLean and Todghaam",2015,"Conservation Physiology","Malacostraca","Decapoda","San Rafael Bay_ California","Single species lab study (one species in paper)",NA,"Makes CaCO3","Juvenile","adult or juvenile","Malacostraca","Decapoda","google scholar",NA,"heart rate","rate","metabolic rate","consumption","unimodal",1,"Days","Fig.8",191,8,NA,NA,"bpm",10,NA,NA,NA,NA,NA,NA,31.6,21,NA,NA,NA,NA,"temperature",NA,"low feeding condition_ summer collected","webplotdigitizer","multi-level anova","McLean and Todghaam 2015 Dungeness crab Juvenile heart rate temperature",183,199,326,0.585889570552147,0.610429447852761,0.561349693251534,0.0245398773006136,21
