English_Name,Genus,Species,treatment,Author,Pub_Year,Journal,Class,Order,Collection_Location,Study_Type,Distribution,Calcification,Life_stage,Life_stage_category,Class,Order,Extracted_from,Comments,Response_variable,rate_or_biomass,response_type,response_type_2,Effect of treatment,Study_Duration,Study_Duration_Units,citation details,response,SE_response,LCI_response,UCI_response,unit_response,sample_size,pH,uatm,omega ar,DIC _umol_kg-1,ppm CO2,CO2,salinity,temperature,oxygen_in_orig_units,orig_oxygen_units,oxygen,unit_conversion_citation,treatment_var,treatment_name_or_other_details,comments,extraction method,study_design
Dungeness crab,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,larval survival,biomass,survival,ability_productivity_growth_survival,negative,45,Days,p7,0.628,,0.394,0.999,acceleration_factor_compared_to_control,38,7.1,3920,,2306,,3920,30.5,,,,,,CO2,high,,,multi-level anova
Dungeness crab,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,larval timing,biomass,growth,ability_productivity_growth_survival,negative,45,Days,p7,0.68,,,,percent reached zoea stage 4 within 45 days,38,8,466,,2058,,466,30.5,,,,,,CO2,control,,,anova
Dungeness crab,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,larval timing,biomass,growth,ability_productivity_growth_survival,negative,45,Days,p7,0.25,,,,percent reached zoea stage 4 within 45 days,75,7.5,1781,,2208,,1781,30.5,,,,,,CO2,medium,medium category was pooled data from medium and high,,anova
Dungeness crab,Cancer,magister,pH,Roberts,2013,Evergreen thesis,Malacostraca,Decapoda,Saratoga Passage_ Puget Sound_ Washington,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,swimming_speed,rate,movement,activity_speed,no diff,21,Days,Fig.3,0.23,0.14,,,cm s-1,30,8.2,400,,,,400,,12,,,,,CO2,control,,,multi-level anova
Dungeness crab,Cancer,magister,pH,Roberts,2013,Evergreen thesis,Malacostraca,Decapoda,Saratoga Passage_ Puget Sound_ Washington,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,swimming_speed,rate,movement,activity_speed,no diff,21,Days,Fig.3,0.2,0.09,,,cm s-1,30,7.6,1600,,,,1600,,12,,,,,CO2,medium,,,multi-level anova
Dungeness crab,Cancer,magister,pH,Roberts,2013,Evergreen thesis,Malacostraca,Decapoda,Saratoga Passage_ Puget Sound_ Washington,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,swimming_speed,rate,movement,activity_speed,no diff,21,Days,Fig.3,0.18,0.12,,,cm s-1,30,7.17,3200,,,,3200,,12,,,,,CO2,high,,,multi-level anova
Dungeness crab,Cancer,magister,pH,Roberts,2013,Evergreen thesis,Malacostraca,Decapoda,Saratoga Passage_ Puget Sound_ Washington,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,larval_phototaxis,information,movement,ability_productivity_growth_survival,no diff,21,Days,Fig.5,80,12,,,percent,29,8.2,400,,,,400,,12,,,,,CO2,control,,,multi-level anova
Dungeness crab,Cancer,magister,pH,Roberts,2013,Evergreen thesis,Malacostraca,Decapoda,Saratoga Passage_ Puget Sound_ Washington,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,larval_phototaxis,information,movement,ability_productivity_growth_survival,no diff,21,Days,Fig.5,90,12,,,percent,29,7.6,1600,,,,1600,,12,,,,,CO2,medium,,,multi-level anova
Dungeness crab,Cancer,magister,pH,Roberts,2013,Evergreen thesis,Malacostraca,Decapoda,Saratoga Passage_ Puget Sound_ Washington,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,larval_phototaxis,information,movement,ability_productivity_growth_survival,no diff,21,Days,Fig.5,78,13,,,percent,29,7.17,3200,,,,3200,,12,,,,,CO2,high,,,multi-level anova
Dungeness crab,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),,Makes CaCO3,Juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,oxygen consumption,rate,metabolic rate,consumption,positive,1,Days,Fig.5,2,0.5,,,umol g-1 h-1,8,,,,,,,31.6,15,,,,,temperature,,low feeding condition_ summer collected,,multi-level anova
