English_Name,Genus,Species,treatment,Author,Pub_Year,Journal,Class,Order,Collection_Location,Study_Type,Distribution,Calcification,Life_stage,Life_stage_category,Class,Order,Extracted_from,Comments,Response_variable,response_type,Effect of treatment,Study_Duration,Study_Duration_Units,citation details,response,SE_response,LCI_response,UCI_response,unit_response,sample_size,pH,uatm,DIC _umol_kg-1,ppm CO2,salinity,temperature,oxygen,oxygen_units,treatment_var,treatment_name_or_other_details,comments,extraction method,study_design
Crab_ Dungeness,Cancer,magister,pH,Miller et al,2016,Marine Biology,Malacostraca,Decapoda,Mukilteo_ Washington_ Puget Sound_ E. Pacific,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Fertilized Egg,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,larval timing,growth,negative,45,Days,p7,0.25,,,,percent reached zoea stage 4 within 45 days,75,7.5,1781,2208,,30.5,,,,pH,medium,medium category was pooled data from medium and high,,anova
Crab_ Dungeness,Cancer,magister,pH,Roberts,2013,Evergreen thesis,Malacostraca,Decapoda,Saratoga Passage_ Puget Sound_ Washington,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,swimming_speed,movement,no diff,21,Days,Fig.3,0.23,0.14,,,cm s-1,30,8.2,400,,,,12,,,pH,control,,,multi-level anova
Crab_ Dungeness,Cancer,magister,pH,Roberts,2013,Evergreen thesis,Malacostraca,Decapoda,Saratoga Passage_ Puget Sound_ Washington,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,swimming_speed,movement,no diff,21,Days,Fig.3,0.2,0.09,,,cm s-1,30,7.6,1600,,,,12,,,pH,medium,,,multi-level anova
Crab_ Dungeness,Cancer,magister,pH,Roberts,2013,Evergreen thesis,Malacostraca,Decapoda,Saratoga Passage_ Puget Sound_ Washington,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,swimming_speed,movement,no diff,21,Days,Fig.3,0.18,0.12,,,cm s-1,30,7.17,3200,,,,12,,,pH,high,,,multi-level anova
Crab_ Dungeness,Cancer,magister,pH,Roberts,2013,Evergreen thesis,Malacostraca,Decapoda,Saratoga Passage_ Puget Sound_ Washington,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,larval_phototaxis,movement,no diff,21,Days,Fig.5,80,12,,,percent,29,8.2,400,,,,12,,,pH,control,,,multi-level anova
Crab_ Dungeness,Cancer,magister,pH,Roberts,2013,Evergreen thesis,Malacostraca,Decapoda,Saratoga Passage_ Puget Sound_ Washington,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,larval_phototaxis,movement,no diff,21,Days,Fig.5,90,12,,,percent,29,7.6,1600,,,,12,,,pH,medium,,,multi-level anova
Crab_ Dungeness,Cancer,magister,pH,Roberts,2013,Evergreen thesis,Malacostraca,Decapoda,Saratoga Passage_ Puget Sound_ Washington,Single species lab study (one species in paper),Eastern Pacific (California - Alaska),Makes CaCO3,Larvae,propagule,Malacostraca,Decapoda,Busch and McHany_2016,,larval_phototaxis,movement,no diff,21,Days,Fig.5,78,13,,,percent,29,7.17,3200,,,,12,,,pH,high,,,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),,Makes CaCO3,Juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,oxygen consumption,metabolic rate,positive,1,Days,Fig.5,2,0.5,,,umol g-1 h-1,8,,,,,31.6,15,,,temperature,,low feeding condition_ summer collected,,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),,Makes CaCO3,Juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,oxygen consumption,metabolic rate,positive,1,Days,Fig.5,3,0.3,,,umol g-1 h-1,8,,,,,31.6,20,,,temperature,,low feeding condition_ summer collected,,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),,Makes CaCO3,Juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,oxygen consumption,metabolic rate,positive,1,Days,Fig.5,5.7,0.7,,,umol g-1 h-1,8,,,,,31.6,25,,,temperature,,low feeding condition_ summer collected,,multi-level anova
